geoid,Population,population-density,life-expectancy,medianAge,urban population,new_tests_7day_smoothed [population],motor vehicles per 1000 people,Longitude,Latitude,Average precipitation in depth (mm per year),total paid leave,fertility rate,muslims/population,chistians/population,unaffiliated/population,hindus/population,buddhists/population,jews/population,folkReligions/population,other/population,Population ages 65 and above (% of total population),GDP per capita (current US$),Cancer Rate (%),Share of Deaths from Smoking (%),Pneumonia Death Rate (per 100K),Share of Deaths from Air Pollution (%),CO2 emissions (metric tons per capita),Air transport (# carrier departures worldwide) per capita
Netherlands/,17134872,511.4759276,81.81219512,42.8,0.92,0.002005,487,5.75,52.5,778,28,1.7,0.05836,0.49081,0.40794,0.00467,0.00233,0.00175,0.00175,0.00175,19.19619263,53024.05921,2.818549509,20.25,16.39636629,4.42,9.920138075,0.01902216112
New Zealand/,4822233,18.38517337,81.85853659,37.2,0.87,0.004348,860,174,-41,1732,31,1.9,0.01037,0.51636,0.33180,0.01866,0.01452,0.00104,0.00415,0.00622,15.65242453,41945.33167,3.211580864,12.89,8.137243446,2.13,7.686575825,0.03895518943
Nicaragua/,6624554,53.72704836,74275,27.3,0.57,,79,-85,13,2280,20,2.4,0.00075,0.75024,0.11020,0.00075,0.00075,0.00075,0.01208,0.00075,5.247497448,2028.894755,0.612097552,6.36,16.28074206,6.51,0.791576323,0
Niger/,24206644,17.71765059,62024,14.8,0.17,,7,8,16,151,34,7,0.63082,0.00496,0.00454,0.00021,0.00021,0.00021,0.00021,0.00021,2.595007883,413.980305,0.353763204,0.94,119.9041305,8.93,0.110542757,0
Nigeria/,206139589,215.064989,54332,18.6,0.52,0.000041,64,8,10,1150,,5.4,0.37499,0.37863,0.00330,0.00002,0.00005,0.00002,0.01111,0.00044,2.747377005,2028.18197,0.573096291,0.85,92.92574979,7.21,0.545794085,0.0003758750413
Norway/,5421241,14.54829163,82.75853659,39.5,0.83,0.004320,514,10,62,1414,35,1.7,0.03320,0.76366,0.09039,0.00369,0.00553,0.00092,0.00092,0.00184,17.04922216,81697.24598,3.149720455,14.26,15.27950426,2.79,9.270945132,0
Oman/,5106626,15.6041454,77.39,26.2,0.87,0.000903,335,57,21,125,31,2.9,0.46802,0.03525,0.00098,0.02937,0.00392,0.00098,0.00098,0.00587,2.392786956,16415.15728,0.645021569,8.23,26.64407744,8.07,15.18879511,0.01501421878
Pakistan/,220892340,275.2893187,67114,22,0.35,0.000191,17,70,30,494,29,3.6,0.75788,0.01245,0.00009,0.01508,0.00009,0.00002,0.00014,0.00009,4.312774311,1482.403063,0.597205025,9.08,35.0810628,9.04,0.851472804,0.0002197541119
Palestine/,,847,73.74,,,7981.000000,42,,,,33,,3940000.00000,100000.00000,5000.00000,5000.00000,5000.00000,5000.00000,5000.00000,5000.00000,,,,,,,,
Panama/,4314767,56.18607748,78329,30.1,0.68,0.002873,171,-80,9,2928,40,2.5,0.00695,0.75786,0.03940,0.00116,0.00116,0.00232,0.00464,0.00464,8.10473108,15575.07255,0.982381717,8.12,22.63322706,4.5,2.255854757,0.02761400558
Papua New Guinea/,8947024,19.00436338,64263,24,0.13,,13,147,-6,3142,19,3.6,0.00056,0.76003,0.00056,0.00056,0.00056,0.00056,0.00335,0.00224,3.445269251,2730.274799,0.596347202,12.45,113.2314881,11.98,0.795074226,0.004643462539
Paraguay/,7132538,17.50835892,74131,29.7,0.62,0.000567,98,-58,-23,1130,22,2.4,0.00070,0.87627,0.00981,0.00070,0.00070,0.00070,0.01542,0.00140,6.430215009,5821.814323,0.682727349,13.12,26.54566891,6.46,0.864029477,0.000590953739
Peru/,32971854,24.99160625,76.29,29.1,0.79,0.000237,78,-76,-10,1738,34,2.3,0.00015,0.84254,0.02608,0.00015,0.00152,0.00015,0.00880,0.00273,8.088392792,6941.235848,0.655925982,4.97,51.43508834,6.75,2.051984358,0.004277143863
Philippines/,109581078,357.6883053,71095,24.1,0.47,0.000352,38,122,13,2348,17,2.6,0.04700,0.78818,0.00082,0.00005,0.00073,0.00005,0.01305,0.00119,5.122568768,3102.713363,0.593539368,14.06,126.0522128,9.66,1.05114223,0.002668800174
Poland/,37846611,124.0234822,77.60243902,41.9,0.6,0.001735,719,20,52,600,36,1.4,0.00013,0.95385,0.05681,0.00013,0.00013,0.00026,0.00013,0.00013,17.51781676,15420.91116,1.635208395,19.39,15.88291442,6.25,7.517151585,0.003273820211
Portugal/,10196709,112.2619412,81.32439024,44.6,0.66,0.004019,492,-8,39.5,854,35,1.3,0.00294,0.96208,0.07846,0.00049,0.00196,0.00049,0.00098,0.00049,21.95385754,23407.90659,1.761483237,10.43,24.58782313,3.8,4.331554028,0.0179227435
