geoid,Population,population-density,life-expectancy,medianAge,urban population,new_tests_7day_smoothed [population],motor vehicles per 1000 people,Longitude,Latitude,Average precipitation in depth (mm per year),total paid leave,fertility rate,muslims/population,chistians/population,unaffiliated/population,hindus/population,buddhists/population,jews/population,folkReligions/population,other/population,Population ages 65 and above (% of total population),GDP per capita (current US$),Cancer Rate (%),Share of Deaths from Smoking (%),Pneumonia Death Rate (per 100K),Share of Deaths from Air Pollution (%),CO2 emissions (metric tons per capita),Air transport (# carrier departures worldwide) per capita
Afghanistan/,38928346,56.93776001,64486,19.5,0.25,,47,65,33,327,35,4.6,0.80481,0.00077,0.00013,0.00026,0.00013,0.00013,0.00013,0.00051,2.58492694,520.8966027,0.529079232,4.08,69.13071516,11.5,0.293946407,0.0006276517888
Albania/,2877797,104.6122628,78458,34.3,0.63,,167,20,41,1485,32,1.6,0.89304,0.20154,0.01737,0.00174,0.00174,0.00174,0.00174,0.00174,13.74473591,5268.848504,1.152906741,19.11,12.1525875,7.53,1.978763312,0.001019877358
Algeria/,43851044,17.73007507,76693,28.9,0.73,,140,3,28,89,41,3.1,0.79200,0.00137,0.01505,0.00011,0.00011,0.00011,0.00023,0.00011,6.362496545,4114.715061,0.581716794,11.08,15.52482374,7.87,3.735520147,0.001766502982
Andorra/,77265,163.8425532,,46.2,0.88,,,1.5,42.5,,45,,0.06471,0.90597,0.06471,0.06471,0.06471,0.06471,0.06471,0.06471,0,42029.76274,2.409174488,14.25,18.12108169,4.17,5.832906215,0
Angola/,32866272,24.71305206,60782,15.9,0.67,,32,18.5,-12.5,1010,33,5.6,0.00122,0.52546,0.02982,0.00015,0.00015,0.00015,0.02404,0.00015,,,0.424512079,4.78,92.2164421,5.82,,
Argentina/,45195774,16.2585101,76.52,32.4,0.93,0.000646,316,-64,-34,591,25,2.3,0.00885,0.76158,0.10886,0.00011,0.00044,0.00443,0.00730,0.00266,11.11778888,11683.94962,1.176868831,15.61,56.33369413,5.12,4.781507775,0.003577502622
Aruba/,106766,588.0277778,76152,39.9,0.44,,,-69.9667,12.5,,,1.9,0.04683,0.93663,0.04683,0.04683,0.04683,0.04683,0.04683,0.04683,,,,,,,,
Australia/,25499884,3.24787091,82.74878049,37.5,0.86,0.002978,789,133,-27,534,30,1.8,0.02118,0.58745,0.21137,0.01216,0.02353,0.00431,0.00588,0.00706,15.65647523,57373.68668,3.042002085,12.62,9.071138937,2.86,15.38876602,0.0260936089
Austria/,9006398,107.1279669,81.69268293,44.5,0.57,0.003476,555,13.3333,47.3333,1110,38,1.5,0.04996,0.74947,0.12547,0.00056,0.00222,0.00111,0.00056,0.00111,19.00156646,51461.95478,2.228314728,14.13,4.587225585,4.29,6.86986793,0.01446305171
Azerbaijan/,10139177,120.2343172,72864,32.6,0.56,,124,47.5,40.5,447,40,2.1,0.87778,0.02762,0.00049,0.00049,0.00049,0.00049,0.00049,0.00049,,,,,,,,
Bahamas/,393244,38.52547453,73.55,,0.86,,81,-76,24.25,,,1.8,0.01271,0.83917,0.02543,0.01271,0.01271,0.01271,0.01271,0.01271,,,,,,,,
Bahrain/,1701575,2017.2737,77163,32.9,0.89,0.007549,422,50.55,26,83,44,2,0.52304,0.10578,0.01175,0.07052,0.01763,0.00294,0.00294,0.00294,2.426333878,24050.75751,0.642360539,9.89,18.80903443,12.23,23.45540632,0.03355361944
Bangladesh/,164689383,1239.579312,72.32,27.9,0.39,0.000108,4,90,24,2666,21,2.1,0.81626,0.00273,0.00003,0.07699,0.00559,0.00003,0.00061,0.00061,5.15839064,1698.262802,0.254187684,10.23,32.49877942,13.83,0.47365761,0.0006156041382
Barbados/,287375,666.6069767,79081,39.5,0.31,,387,-59.5333,13.1667,1422,,1.6,0.01740,0.90474,0.01740,0.01740,0.01740,0.01740,0.01740,0.01740,15.80269396,17949.28151,1.502144362,6.05,38.73698576,6.18,4.467476521,0
Belarus/,9449323,46.71950379,74.17560976,40.9,0.79,0.003060,369,28,53,618,29,1.7,0.00212,0.72280,0.28997,0.00053,0.00053,0.00053,0.00053,0.00053,,,,,,,,
Belgium/,11589623,377.3795905,81.59512195,41.6,0.98,0.005824,508,4,50.8333,847,30,1.7,0.05436,0.59363,0.26834,0.00043,0.00259,0.00259,0.00173,0.00086,18.78874374,47518.63604,2.129967521,18.44,19.68641753,4.57,8.328159898,0.01213792718
Belize/,397628,16.79399386,74496,23.9,0.46,,139,-88.75,17.25,1705,27,2.3,0.01257,0.67903,0.07545,0.01257,0.01257,0.01257,0.01257,0.01257,4.736458777,4884.742421,0.657790338,6.79,42.90143577,5.83,1.400941234,0.3160785732
Benin/,12123200,101.8539198,61.47,17,0.48,,24,2.25,9.5,1039,37,4.9,0.17405,0.38686,0.03712,0.00041,0.00041,0.00041,0.13198,0.00041,,,,,,,,
Bermuda/,62278,1183.703683,81.65170732,43.6,0.97,,,-64.75,32.3333,,,,0.08029,0.80285,0.16057,0.08029,0.08029,0.08029,0.08029,0.08029,0,85748.06541,1.540409081,11.83,13.13177427,4.33,8.838314988,0
Bhutan/,771608,19.77752777,71.46,29.1,0.46,,57,90.5,27.5,2200,,2,0.00648,0.00648,0.00648,0.20736,0.69984,0.00648,0.01296,0.00648,,,,,,,,
Bolivia/,11673021,10.48014585,71239,25.3,0.69,0.000274,72,-65,-17,1146,31,2.8,0.00043,0.79928,0.03427,0.00043,0.00043,0.00043,0.00771,0.00857,7.191947392,3548.59014,0.660451291,6.03,65.03915155,6.4,1.90636432,0.004848102304
Bosnia and Herzegovina/,3280819,64.92048828,77262,43.3,0.52,,258,18,44,1028,35,1.3,0.51816,0.60046,0.02743,0.00152,0.00152,0.00152,0.00152,0.00152,16.47031747,6065.672708,1.280815425,22.92,7.179361467,9.11,6.384938819,0
Botswana/,2351627,3.977424876,69275,25.7,0.73,,177,24,-22,416,29,2.9,0.00213,0.61659,0.17435,0.00213,0.00213,0.00213,0.05103,0.00425,4.223874346,8258.641666,0.53866266,6.33,58.98480094,5.77,3.367451334,0.002880558864
Brazil/,212559417,25.06171624,75672,33.2,0.88,0.000463,364,-55,-10,1761,28,1.7,0.00019,0.81530,0.07250,0.00002,0.00118,0.00052,0.02606,0.00141,8.922837832,8920.762105,0.775327051,12.43,40.05188178,4.91,2.612933521,0.00391741289
Brazil/Acre,881935,4.47,74.2,33.2,0.88,0.000463,364,-55,-10,1761,28,1.7,0.00019,0.81530,0.07250,0.00002,0.00118,0.00052,0.02606,0.00141,8.922837832,8920.762105,0.775327051,12.43,40.05188178,4.91,2.612933521,0.00391741289
Brazil/Alagoas,3337357,112.33,72,33.2,0.88,0.000463,364,-55,-10,1761,28,1.7,0.00019,0.81530,0.07250,0.00002,0.00118,0.00052,0.02606,0.00141,8.922837832,8920.762105,0.775327051,12.43,40.05188178,4.91,2.612933521,0.00391741289
Brazil/Amapa,4144597,4.69,74.2,33.2,0.88,0.000463,364,-55,-10,1761,28,1.7,0.00019,0.81530,0.07250,0.00002,0.00118,0.00052,0.02606,0.00141,8.922837832,8920.762105,0.775327051,12.43,40.05188178,4.91,2.612933521,0.00391741289
Brazil/Amazonas,845731,2.23,72.1,33.2,0.88,0.000463,364,-55,-10,1761,28,1.7,0.00019,0.81530,0.07250,0.00002,0.00118,0.00052,0.02606,0.00141,8.922837832,8920.762105,0.775327051,12.43,40.05188178,4.91,2.612933521,0.00391741289
Brazil/Bahia,14873064,24.82,73.7,33.2,0.88,0.000463,364,-55,-10,1761,28,1.7,0.00019,0.81530,0.07250,0.00002,0.00118,0.00052,0.02606,0.00141,8.922837832,8920.762105,0.775327051,12.43,40.05188178,4.91,2.612933521,0.00391741289
Brazil/Ceara,9132078,56.76,74.1,33.2,0.88,0.000463,364,-55,-10,1761,28,1.7,0.00019,0.81530,0.07250,0.00002,0.00118,0.00052,0.02606,0.00141,8.922837832,8920.762105,0.775327051,12.43,40.05188178,4.91,2.612933521,0.00391741289
Brazil/Distrito Federal,3015268,444.66,78.4,33.2,0.88,0.000463,364,-55,-10,1761,28,1.7,0.00019,0.81530,0.07250,0.00002,0.00118,0.00052,0.02606,0.00141,8.922837832,8920.762105,0.775327051,12.43,40.05188178,4.91,2.612933521,0.00391741289
Brazil/Espirito Santo,4018650,76.25,78.5,33.2,0.88,0.000463,364,-55,-10,1761,28,1.7,0.00019,0.81530,0.07250,0.00002,0.00118,0.00052,0.02606,0.00141,8.922837832,8920.762105,0.775327051,12.43,40.05188178,4.91,2.612933521,0.00391741289
Brazil/Goias,7018354,17.65,74.3,33.2,0.88,0.000463,364,-55,-10,1761,28,1.7,0.00019,0.81530,0.07250,0.00002,0.00118,0.00052,0.02606,0.00141,8.922837832,8920.762105,0.775327051,12.43,40.05188178,4.91,2.612933521,0.00391741289
Brazil/Maranhao,7075181,19.81,70.9,33.2,0.88,0.000463,364,-55,-10,1761,28,1.7,0.00019,0.81530,0.07250,0.00002,0.00118,0.00052,0.02606,0.00141,8.922837832,8920.762105,0.775327051,12.43,40.05188178,4.91,2.612933521,0.00391741289
Brazil/Mato Grosso,21168791,3.36,74.5,33.2,0.88,0.000463,364,-55,-10,1761,28,1.7,0.00019,0.81530,0.07250,0.00002,0.00118,0.00052,0.02606,0.00141,8.922837832,8920.762105,0.775327051,12.43,40.05188178,4.91,2.612933521,0.00391741289
Brazil/Mato Grosso do Sul,2778986,6.86,75.8,33.2,0.88,0.000463,364,-55,-10,1761,28,1.7,0.00019,0.81530,0.07250,0.00002,0.00118,0.00052,0.02606,0.00141,8.922837832,8920.762105,0.775327051,12.43,40.05188178,4.91,2.612933521,0.00391741289
Brazil/Minas Gerais,3484466,33.41,77.5,33.2,0.88,0.000463,364,-55,-10,1761,28,1.7,0.00019,0.81530,0.07250,0.00002,0.00118,0.00052,0.02606,0.00141,8.922837832,8920.762105,0.775327051,12.43,40.05188178,4.91,2.612933521,0.00391741289
Brazil/Para,8602865,6.07,72.3,33.2,0.88,0.000463,364,-55,-10,1761,28,1.7,0.00019,0.81530,0.07250,0.00002,0.00118,0.00052,0.02606,0.00141,8.922837832,8920.762105,0.775327051,12.43,40.05188178,4.91,2.612933521,0.00391741289
Brazil/Paraiba,4018127,66.7,73.5,33.2,0.88,0.000463,364,-55,-10,1761,28,1.7,0.00019,0.81530,0.07250,0.00002,0.00118,0.00052,0.02606,0.00141,8.922837832,8920.762105,0.775327051,12.43,40.05188178,4.91,2.612933521,0.00391741289
Brazil/Parana,3273227,52.4,77.4,33.2,0.88,0.000463,364,-55,-10,1761,28,1.7,0.00019,0.81530,0.07250,0.00002,0.00118,0.00052,0.02606,0.00141,8.922837832,8920.762105,0.775327051,12.43,40.05188178,4.91,2.612933521,0.00391741289
Brazil/Pernambuco,11433957,89.62,74.3,33.2,0.88,0.000463,364,-55,-10,1761,28,1.7,0.00019,0.81530,0.07250,0.00002,0.00118,0.00052,0.02606,0.00141,8.922837832,8920.762105,0.775327051,12.43,40.05188178,4.91,2.612933521,0.00391741289
Brazil/Piaui,9557071,12.4,71.2,33.2,0.88,0.000463,364,-55,-10,1761,28,1.7,0.00019,0.81530,0.07250,0.00002,0.00118,0.00052,0.02606,0.00141,8.922837832,8920.762105,0.775327051,12.43,40.05188178,4.91,2.612933521,0.00391741289
Brazil/Rio de Janeiro,3506853,365.23,76.5,33.2,0.88,0.000463,364,-55,-10,1761,28,1.7,0.00019,0.81530,0.07250,0.00002,0.00118,0.00052,0.02606,0.00141,8.922837832,8920.762105,0.775327051,12.43,40.05188178,4.91,2.612933521,0.00391741289
Brazil/Rio Grande do Norte,11377239,59.99,76,33.2,0.88,0.000463,364,-55,-10,1761,28,1.7,0.00019,0.81530,0.07250,0.00002,0.00118,0.00052,0.02606,0.00141,8.922837832,8920.762105,0.775327051,12.43,40.05188178,4.91,2.612933521,0.00391741289
Brazil/Rio Grande do Sul,605761,37.96,78,33.2,0.88,0.000463,364,-55,-10,1761,28,1.7,0.00019,0.81530,0.07250,0.00002,0.00118,0.00052,0.02606,0.00141,8.922837832,8920.762105,0.775327051,12.43,40.05188178,4.91,2.612933521,0.00391741289
Brazil/Rondonia,17264943,6.58,71.5,33.2,0.88,0.000463,364,-55,-10,1761,28,1.7,0.00019,0.81530,0.07250,0.00002,0.00118,0.00052,0.02606,0.00141,8.922837832,8920.762105,0.775327051,12.43,40.05188178,4.91,2.612933521,0.00391741289
Brazil/Roraima,1777225,2.01,71.8,33.2,0.88,0.000463,364,-55,-10,1761,28,1.7,0.00019,0.81530,0.07250,0.00002,0.00118,0.00052,0.02606,0.00141,8.922837832,8920.762105,0.775327051,12.43,40.05188178,4.91,2.612933521,0.00391741289
Brazil/Santa Catarina,7164788,65.27,79.4,33.2,0.88,0.000463,364,-55,-10,1761,28,1.7,0.00019,0.81530,0.07250,0.00002,0.00118,0.00052,0.02606,0.00141,8.922837832,8920.762105,0.775327051,12.43,40.05188178,4.91,2.612933521,0.00391741289
Brazil/Sao Paulo,2298696,166.23,78.4,33.2,0.88,0.000463,364,-55,-10,1761,28,1.7,0.00019,0.81530,0.07250,0.00002,0.00118,0.00052,0.02606,0.00141,8.922837832,8920.762105,0.775327051,12.43,40.05188178,4.91,2.612933521,0.00391741289
Brazil/Sergipe,45919049,94.36,72.9,33.2,0.88,0.000463,364,-55,-10,1761,28,1.7,0.00019,0.81530,0.07250,0.00002,0.00118,0.00052,0.02606,0.00141,8.922837832,8920.762105,0.775327051,12.43,40.05188178,4.91,2.612933521,0.00391741289
Brazil/Tocantins,1572866,4.98,73.7,33.2,0.88,0.000463,364,-55,-10,1761,28,1.7,0.00019,0.81530,0.07250,0.00002,0.00118,0.00052,0.02606,0.00141,8.922837832,8920.762105,0.775327051,12.43,40.05188178,4.91,2.612933521,0.00391741289
Brunei/,437479,81.39696395,75.58,31.1,0.8,,721,114.6667,4.5,2722,,1.8,0.68575,0.09143,0.01143,0.01143,0.06857,0.01143,0.04572,0.01143,4.873147568,31628.32879,2.287365627,15.27,39.96329111,2.79,22.2291779,0.0258526695
Bulgaria/,6948445,64.71109985,74.96341463,43.7,0.76,0.001466,393,25,43,608,32,1.6,0.14680,0.88509,0.04461,0.00072,0.00072,0.00072,0.00072,0.00072,,,1.659590404,18.86,12.95434144,7.14,,
Burkina Faso/,20903273,72.19128289,61174,17.9,0.31,,16,-2,13,748,45,5.2,0.48557,0.17748,0.00335,0.00024,0.00024,0.00024,0.12103,0.00024,,,0.454025222,1.83,126.8998112,8.33,,
Burundi/,11890784,435.178271,61247,17.7,0.14,,6,30,-3.5,1274,30,5.5,0.01934,0.64504,0.00042,0.00042,0.00042,0.00042,0.04037,0.00042,,,0.387557281,3.34,121.5234286,7.96,,
Cambodia/,16718965,92.05641287,69.57,26.4,0.24,,21,105,13,1904,45,2.5,0.01675,0.00299,0.00179,0.00030,0.81883,0.00030,0.00478,0.00030,,,,,,,,
Cameroon/,26545863,53.34398891,58921,18.5,0.56,,15,12,6,1604,,4.6,0.13524,0.51910,0.03955,0.00019,0.00019,0.00019,0.02449,0.01997,2.728877355,1533.74214,0.440479926,2.74,116.0201175,6.95,0.308791722,0.0002090721255
Canada/,37742154,4.075188239,81.94878049,41.8,0.81,0.002248,685,-95,60,537,22,1.5,0.01881,0.62185,0.21329,0.01245,0.00742,0.00927,0.01033,0.00795,17.23200668,46232.98962,4.629727772,17.67,11.57868045,2.8,15.15892722,0.03908262856
Cape Verde/,,134.9297767,72.57,,,567.000000,101,-24,16,,22,,5000.00000,440000.00000,50000.00000,5000.00000,5000.00000,5000.00000,5000.00000,5000.00000,,,,,,,,
Central African Republic/,4829767,7.490412212,52805,20,0.43,,4,21,7,1343,,4.8,0.07661,0.81577,0.00828,0.00104,0.00104,0.00104,0.00828,0.00104,,,,,,,,
Chad/,16425864,12.29173364,53.71,16.1,0.23,,6,19,15,322,27,5.8,0.37806,0.27761,0.01705,0.00030,0.00030,0.00030,0.00974,0.00122,2.480518944,728.3432354,0.378859336,1.13,148.4437073,9.77,0.053407242,0
Chile/,19116201,25.18944607,80042,35.5,0.85,0.001855,230,-71,-30,1522,30,1.7,0.00026,0.80037,0.07690,0.00026,0.00052,0.00105,0.01360,0.00157,11.52980166,15923.35874,1.237788506,9.26,19.76227628,5.05,4.6490622,0.007044338988
China/,1439323776,148.3488333,76704,38.4,0.61,,196,105,35,645,21,1.7,0.01715,0.04753,0.48681,0.00001,0.16960,0.00000,0.20447,0.00631,10.92088354,9770.847088,1.454289027,21.03,12.96889687,11.89,7.543907641,0.003259869724
Colombia/,50882891,44.74870212,77109,31.2,0.8,0.000753,126,-72,4,3240,33,1.8,0.00020,0.84134,0.05994,0.00010,0.00010,0.00010,0.00727,0.00079,8.47804702,6667.7907,0.875953763,8.3,15.09932772,5.11,1.790356827,0.007052409817
Comoros/,869601,447.2444775,64118,20.9,0.29,,33,44.25,-12.1667,900,,4.2,0.82797,0.00575,0.00575,0.00575,0.00575,0.00575,0.00575,0.00575,,,,,,,,
Congo/,5518087,15.35684627,62.8,,0.7,,,15,-1,1646,,4.5,,,,,,,,,,,,,,,,
Costa Rica/,5094118,97.91306306,80095,32.6,0.8,0.000561,224,-84,10,2926,19,1.8,0.00098,0.83037,0.07263,0.00098,0.00098,0.00098,0.00785,0.00196,9.549847673,12027.36588,1.336493848,9.36,10.604963,4.43,1.618087849,0.007799191146
Cote d'Ivoire/,26378274,78.83405346,57422,20.3,0.51,0.000069,41,0,0,1348,34,4.7,0.28015,0.33020,0.05952,0.00019,0.00019,0.00019,0.07658,0.00114,0,0,0,0,0,0,0,0
Croatia/,4105267,73.04937455,78.07073171,43.9,0.58,0.002500,389,15.5,45.1667,1113,33,1.4,0.01462,1.00115,0.05603,0.00122,0.00122,0.00122,0.00122,0.00122,20.44543301,14909.69319,2.153365611,18.24,6.427023522,6.03,3.973804906,0.00662295534
Cuba/,11326616,108.9995962,,42.1,0.78,0.000949,42,-80,21.5,1335,33,1.6,0.00044,0.58888,0.22866,0.00177,0.00044,0.00044,0.17304,0.00044,15.18621142,8821.818891,1.353519687,18.19,29.07299006,6.15,3.080994246,0.0007710746087
Cyprus/,1207359,128.7083333,80828,37.9,0.67,0.005089,509,33,35,498,34,1.3,0.23191,0.67089,0.00828,0.00414,0.00414,0.00414,0.00414,0.00414,,,,,,,,
Czech Republic/,0,137.6577053,79.02926829,43.3,0,40111.000000,539,15.5,49.75,677,33,0,5000.00000,2450000.00000,8020000.00000,5000.00000,5000.00000,5000.00000,5000.00000,5000.00000,19.42087689,23078.57349,2.113855018,18.84,15.66182801,5.85,9.165978376,50694
Democratic Republic of Congo/,5518087,37.08259236,60.03,16.7,0.7,0.000157,25,15,-1,1646,,4.5,0.17579,11.45506,0.21203,0.00544,0.00091,0.00091,0.08880,0.01812,3.017840622,561.7771824,0.373808856,2.59,111.6227305,8.33,0.063330889,0.003372943602
Denmark/,5792202,137.9765658,80.95365854,42,0.88,0.016984,438,10,56,703,36,1.8,0.03971,0.79935,0.11222,0.00345,0.00173,0.00086,0.00086,0.00086,19.81295264,61350.34791,2.493679851,21.58,18.23111893,4.36,5.935712482,0
Djibouti/,988000,41.36842105,66582,24.9,0.79,,28,43,11.5,220,35,2.8,0.87045,0.02024,0.00506,0.00506,0.00506,0.00506,0.00506,0.00506,4.527579378,3082.543099,0.520915766,5.51,79.51501977,6.49,0.803830216,0
Dominica/,71986,95.5,76.6,34.9,0.74,,163,-61.3333,15.4167,2083,22,,0.06946,0.97241,0.06946,0.06946,0.06946,0.06946,0.06946,0.06946,,,,,,,,
Dominican Republic/,10847910,219.9785759,73892,27.9,0.85,0.000532,153,-70.6667,19,1410,23,2.4,0.00046,0.80569,0.09956,0.00046,0.00046,0.00046,0.00830,0.00092,7.082817476,8050.631602,0.753248307,11.52,25.29051513,5.02,2.11899467,0
Ecuador/,17643054,68.78868175,76.8,28.8,0.63,0.000373,141,-77.5,-2,2274,23,2.4,0.00028,0.77141,0.04534,0.00028,0.00028,0.00028,0.00227,0.00028,7.157289727,6344.871979,0.693830173,5.4,36.41377435,4.41,2.753266363,0.003005885489
Egypt/,102334404,98.87346929,71.66,24.1,0.43,,109,30,27,51,28,3.3,0.75234,0.04026,0.00005,0.00005,0.00005,0.00005,0.00005,0.00005,5.229779346,2549.132252,0.543731123,13.88,33.5519322,12.12,2.232732005,0.001020898114
El Salvador/,6486205,309.8814672,73096,27.7,0.73,0.000533,41,-88.9167,13.8333,1784,26,2.1,0.00077,0.84179,0.10484,0.00077,0.00077,0.00077,0.00463,0.00308,8.287090005,4058.252439,0.813825469,5.34,43.20066203,6.39,0.998428944,0.004255338831
Eritrea/,3546421,,65941,20.3,0.63,,11,39,15,384,,4.1,0.54139,0.93334,0.00141,0.00141,0.00141,0.00141,0.00564,0.00141,,,,,,,,
Estonia/,1326535,30.41124914,78.24390244,43.7,0.68,0.004222,550,26,59,626,31,1.6,0.00377,0.40708,0.60307,0.00377,0.00377,0.00377,0.00377,0.00377,19.62635685,23266.34627,2.20173988,14.12,9.192635012,2.96,14.84881917,0.0005955364917
Eswatini/,1160164,66.05761628,59401,23.7,0.3,,,,,788,,3,,,,,,,,,4.014587941,4145.974112,0.551662124,4.93,97.87967456,5.6,1.098404505,0
Ethiopia/,114963588,109.224559,66.24,19.8,0.21,0.000190,9,38,8,848,25,4.3,0.24947,0.45293,0.00043,0.00004,0.00004,0.00004,0.01853,0.00004,,,,,,,,
Faeroe Islands/,48863,34.73996983,82.54878049,,0.43,,,,,,,,,,,,,,,,,,,,,,,
Fiji/,896445,48.35703339,67.25,29.9,0.59,0.000284,188,175,-18,2592,22,2.8,0.05578,0.61353,0.00558,0.26772,0.00558,0.00558,0.00558,0.00558,,,,,,,,
Finland/,5540720,18.14854727,81.73414634,42.8,0.86,0.003470,752,26,64,536,36,1.5,0.00722,0.77607,0.18409,0.00090,0.00090,0.00090,0.00090,0.00090,21.72078755,50152.34014,2.353037036,10.24,5.057654295,2.05,8.660721243,0.02270535237
France/,65273511,122.2994372,82.72439024,41.7,0.82,0.004775,478,2,46,867,36,1.9,0.07216,0.60607,0.26933,0.00046,0.00429,0.00475,0.00337,0.00153,20.03462475,41463.64402,2.091774092,13.64,10.98052703,3.28,4.573181595,0.009152441639
Gabon/,2225734,8.224764233,66187,21,0.87,,14,11.75,-1,1831,34,4,0.07638,0.51668,0.03594,0.00225,0.00225,0.00225,0.04044,0.00225,,,,,,,,
Gambia/,2416668,225.3065217,61.44,21.8,0.59,,7,-16.5667,13.4667,836,,5.3,0.67862,0.03310,0.00207,0.00207,0.00207,0.00207,0.00207,0.00207,2.589980939,716.118489,0.331867104,4.9,112.0379285,9.39,0.253640982,0.000258620547
Georgia/,3989167,65.19733021,73.6,38.6,0.58,,281,43.5,42,1026,39,2.1,0.11782,0.96511,0.00752,0.00125,0.00125,0.00125,0.00125,0.00125,,,,,,,,
Germany/,83783942,237.3075967,80.89268293,47.8,0.76,0.002782,561,9,51,700,30,1.6,0.05681,0.67483,0.24289,0.00095,0.00251,0.00275,0.00048,0.00119,21.461962,47603.02763,2.398478606,14.94,11.42272633,4.42,8.889370395,0.01101223721
Ghana/,31072940,130.8214292,63.78,21.4,0.57,0.000201,32,-2,8,1187,28,3.9,0.12422,0.58765,0.03283,0.00016,0.00016,0.00016,0.03862,0.00129,3.068898007,2202.312164,0.465036577,2.9,114.9090784,7.48,0.531371738,0.0004625568099
Greece/,10423054,83.26518231,81.78780488,45.3,0.85,0.002082,487,22,39,652,29,1.3,0.05852,0.96037,0.06716,0.00192,0.00048,0.00048,0.00096,0.00048,21.65527208,20324.25356,1.85735654,20.29,14.40514319,5.77,6.180337268,0.01381936619
Greenland/,56770,0.1364916555,71.25,34.3,0.87,,,-40,72,,,,0.08807,0.88075,0.08807,0.08807,0.08807,0.08807,0.08807,0.08807,,,,,,,,
